word,frequency
call,369
free,219
txt,164
u,155
ur,144
text,139
mobil,136
stop,116
claim,115
repli,110
prize,94
get,87
p,73
tone,73
nokia,72
servic,72
send,69
new,69
award,67
week,63
urgent,63
win,62
cash,62
contact,61
phone,58
pleas,57
min,54
custom,51
tc,50
guarante,50
collect,50
per,46
messag,45
chat,45
box,45
ppm,44
draw,39
number,39
offer,39
tri,38
receiv,37
latest,37
go,37
line,37
day,36
today,36
voucher,36
msg,35
show,35
landlin,34
camera,33
everi,33
rington,32
holiday,32
select,31
want,31
st,30
appli,30
pobox,30
live,30
video,30
po,30
code,29
chanc,29
rate,29
cost,28
end,28
orang,28
network,27
date,27
await,27
entri,26
sm,26
pmin,26
know,26
poli,26
uk,25
mob,25
game,25
pound,24
weekli,24
wk,24
back,23
valid,23
r,23
charg,23
c,23
find,23
help,23
word,22
dont,22
hr,22
attempt,22
ye,21
deliveri,21
special,21
bonu,21
gift,21
sae,21
b,21
pic,21
play,20
yr,20
music,20
club,20
nd,20
tsc,20
updat,19
credit,19
wait,19
account,19
see,19
name,19
unsubscrib,19
take,19
time,19
colour,18
privat,18
expir,18
join,18
mth,18
doubl,18
price,18
land,18
tell,18
final,17
top,17
order,17
winner,16
next,16
statement,16
unredeem,16
point,16
identifi,16
age,16
friend,16
pmsg,16
mobileupd,16
enter,16
dear,16
hi,16
auction,16
thank,15
camcord,15
oper,15
match,15
sexi,15
ltd,15
hot,15
xma,15
wkli,14
k,14
content,14
start,14
someon,14
think,14
congratul,14
cs,14
shop,14
like,13
year,13
last,13
weekend,13
quiz,13
real,13
im,13
optout,13
make,13
cd,13
easi,13
half,13
worth,13
savamob,13
opt,13
mate,13
freemsg,12
xxx,12
info,12
nation,12
eg,12
complimentari,12
ampm,12
caller,12
player,12
dog,12
look,12
anytim,12
minut,12
fanci,12
x,12
current,12
rental,12
ipod,12
import,12
good,12
enjoy,12
valu,11
month,11
use,11
follow,11
pl,11
invit,11
g,11
hmv,11
motorola,11
sex,11
need,11
fantasi,11
great,11
comp,10
reward,10
wap,10
miss,10
news,10
tomorrow,10
congrat,10
pm,10
repres,10
speak,10
sent,10
direct,10
txting,10
f,10
secret,10
admir,10
unlimit,10
choos,10
question,10
babe,10
custcar,10
love,10
ldn,10
welcom,10
term,10
sub,10
one,10
either,10
ntt,10
girl,10
wanna,10
inform,10
part,10
fun,9
std,9
england,9
bluetooth,9
discount,9
subscrib,9
best,9
summer,9
wwwgetzedcouk,9
chariti,9
reveal,9
digit,9
n,9
del,9
flag,9
entitl,8
hl,8
inc,8
sunshin,8
soni,8
freephon,8
ufind,8
rreveal,8
specialcal,8
tnc,8
answer,8
access,8
hgsuiteland,8
rowwjhl,8
activ,8
member,8
us,8
euro,8
area,8
night,8
store,8
bid,8
user,8
lucki,8
give,8
btnationalr,8
detail,8
may,7
still,7
etc,7
flight,7
dvd,7
download,7
e,7
even,7
horni,7
loyalti,7
sport,7
rcvd,7
cashbal,7
maxim,7
cashin,7
tenerif,7
visit,7
gb,7
unsub,7
within,7
spree,7
remov,7
gr,7
fantast,7
well,7
could,7
extra,7
care,7
skxh,7
guess,7
uve,7
log,7
onto,7
got,7
croydon,7
cr,7
wb,7
plu,7
bill,7
costa,7
sol,7
saturday,7
v,6
hour,6
link,6
pass,6
quot,6
standard,6
frnd,6
goto,6
tv,6
meet,6
handset,6
singl,6
keep,6
cc,6
first,6
vari,6
mp,6
announc,6
guy,6
vodafon,6
holder,6
pc,6
book,6
wwq,6
normpton,6
zed,6
record,6
asap,6
gay,6
regist,6
ask,6
sipix,6
an,6
httpwwwurawinnercom,6
luck,6
readi,6
arriv,6
bx,6
titl,6
arcad,6
fone,6
toclaim,6
stockport,6
costpm,6
maxmin,6
tariff,6
pick,6
cup,5
hey,5
ok,5
co,5
click,5
subscript,5
recent,5
come,5
voda,5
locat,5
bt,5
must,5
local,5
luv,5
th,5
wwwtcbiz,5
partner,5
flirt,5
sim,5
decemb,5
sonyericsson,5
gbp,5
logo,5
eve,5
poboxwwq,5
post,5
loan,5
condit,5
xpwk,5
immedi,5
alert,5
break,5
polyphon,5
wwwcomuknet,5
login,5
talk,5
videophon,5
videochat,5
wid,5
java,5
dload,5
nolin,5
rentl,5
cant,5
xchat,5
surpris,5
place,5
let,5
ptone,5
cum,5
xx,5
linerent,5
reach,5
eeri,5
rpli,5
comput,5
offici,5
inclus,5
ip,5
spook,5
crazi,5
cancel,5
fa,4
tkt,4
rcv,4
ac,4
correct,4
review,4
trip,4
app,4
q,4
countri,4
ansr,4
sptyron,4
tonight,4
largest,4
eca,4
noth,4
netcollex,4
wwwldewcomwinppmxag,4
upgrad,4
card,4
check,4
refer,4
ad,4
